text,label
@ICC @ICCCAD @BCCI   Poorest management of #CWC19   Need to change venues  Please take a look of geographical  And environmental conditions  Not only on gloves.....  #ShameOnICC,hate
@realDonaldTrump Looks like somebody doesn't understand what Treason is.    #TrumpIsATraitor #TrumpTantrum #ImpeachTrumpNow,hate
#RacistTrump Retweets #AntiMuslim Extremist &amp; Gets Exactly What He Deserves #TrumpIsATraitor  https://t.co/f3AckwPFcl,hate
Because dictators love stupid populations- right #TrumpTrain?     #TrumpIsATraitor     https://t.co/nIwU0NJsVM,hate
No less than he deserves.    Boris Johnson (or Boorish Johnson as I call him) is unfit to be our next Prime Minister.     #ToryLeadershipContest #C4Debate #LobbyHustings #BorisJohnsonShouldNotBePM #BorisIsChicken https://t.co/MrwNBaXciE,hate
"Labour MP Wes Streeting listed on Twitter the various occasion Boris Johnson made fantasy claims, broke promises and launched expensive ‘vanity projects’ as Mayor of London. Time to fact-check Boris Johnson’s mayoralty.  #BorisJohnsonShouldNotBePM  https://t.co/5XLUpSZwdq",hate
"So basically @BorisJohnson does not tell the truth. Not only does he not tell the truth, he made promises that he came nowhere close to delivering and does not seem to care. What is his motivation? It is unlikely to be your welfare. #BorisJohnsonShouldNotBePM https://t.co/LLQyqRatVM",hate
#Progressive Group Wants Dems to #Investigate Kavanaugh for #Perjury    #GangRapes #ChristineBlaseyFord #BrettKavanaugh #Rape #Rapist #BrettKavanaughRapist    https://t.co/ZBGkZDfElG,hate
@realDonaldTrump happy birthday you racist dumbass!!! I’m having tacos for lunch in your honor. And here’s a picture of your favorite senator. #TrumpIsATraitor #trumpsucks https://t.co/hzEJQsfmPI,hate
Yesterday  Congress : blood donations are necessary blah blah blah   Today   Congress : snubbed on injustice on doctors in wb   Shame on u so called national opposition   #Thuuuuuuu #Congress #WestBengal #DoctorsFightBack #DoctorsProtest   #SoniaGandhi #RahulGandhi #priyankagandhi,hate
"@HMOIndia  @AmitShahOffice     @BCCI should be brought under GoI control. Full of corrupt, compromised cowards who for the sake of money always letting us patriots down. Failed to take @ICC head-on in this matter of national pride. Shame!!. #DhoniKeepsTheGlove",hate
"@BJP4India @narendramodi Oye!!!, Islamic Cricket Council aka ICC ban this thing too (watch video).    Also stop eating lays chips all the time, do some constructive work.    #CWC19 #DhoniKeepTheGlove #DhoniKeepsTheGlove #DhoniKeSaathDesh #dhonigloves #ICCWorldCup #ICCVersusIndia https://t.co/bxupyMATyH",hate
#Icc can support a terrorist country(#Pakistan)to participate in wc tournament but they refushed a true country lover #Dhoni sir to wear his 'Balidaan' sign gloves.  #shameonyouicc 👎👎🖕🖕  #DhoniKeepsTheGlove 👍👍🤘🤘  #DhoniKeSaathDesh 🇮🇳🇮🇳🇮🇳  #DhoniKeepBalidaanBadgeGlove,hate
"@TheRealOJ32 I know quite a few people who would like to 'get even' with you #MURDERER You did it, you admitted it, and you deserve to rot.",hate
@MyloMegha Here everyone supports doctors &amp; mamta get slap on her face which has oozing with arrogance !  You can say   👋SLAP 👋 OF THE CENTUARY !   #DoctorsFightBack,hate
"@tapatiotaylor Every morning I wake up hoping I have an alert on my phone saying @realDonaldTrump has died from a massive stroke or heart attack. Him being assassinated would be more ideal, but I’ll take his own body giving out. #fucktrump",hate
@ashwaqM Should be hanged to death.    #Rapist,hate
Please do not follow O.J.Simpson. We don't need to give ANOTHER egomaniacal narcissist a platform...Thank you. #OJSimpson #evil #MURDERER,hate
"Dear ICC, please don't forget that BCCI is your father.....    So,mind on your business....    Do better umpiring....    #DhoniKeepsTheGlove https://t.co/t1vd3yWDbM",hate
"@QuancyClayborne I think in this case I'd actually take the dinner with schmucks, because at least I could fight back, get in a few good insults and feel better about myself for it, unlike the other scenario you too vividly described. #FuckTrump",hate
@ICC @cricketworldcup @UberEats #shameonicc  Waiting for 4 years for such a grand Tournament and four-matches are abandoned next time be focused on the venue instead on the wicketkeeper's gloves,hate
#ShameOnICC for organising such an important tournament at such a time when half of the matches are getting washed away...... https://t.co/rYwp6ORTPk,hate
Priceless! 🤣   Reliving old memories with your son!   'Melania T' 😜     #FuckTrump https://t.co/TAELLltN7T,hate
@DanielCollins85 @Muscles4851 @BeattieDoug @ColmDore Doug is a fence jumper looking for relevance. If or when a war crimes tribunal (doubtful) is set up to look into Afghanistan or Iraq Dougy will not be so outspoken. His book will be used as evidence against him. #Murderer.,hate
#TrumpIsNotTheMessiah #TrumpIsACriminal #TrumpIsANationalSecurityThreat #TrumpIsAFraud #TrumpIsATraitor #TrumpIsAMoron     The Belief That Trump Is a Messiah Is Rampant and Dangerous | Psychology Today https://t.co/teXC8y1agk,hate
#BorisJohnson isn't daft- he wasn't on #C4Debate and he didn't attend the Q&amp;A because no-one involved in either of those has any say in the vote... He thinks he's already won #BorisJohnsonShouldNotBePM https://t.co/HOGq9wz56I,hate
@realDonaldTrump … says the guy who was installed by Putin!    #NotMyPresident   #ImpeachTrumpNow   #TrumpIsATraitor,hate
I genuinely can’t believe Nazanin still hasn’t been released. Even more unbelievable is that Boris Johnson could be our next PM. Our Government should hang their heads in shame. #FreeNazanin #BorisJohnsonShouldNotBePM https://t.co/T6aXIv8M14,hate
"#DhoniKeepsTheGlove, @BCCI ,@ICC . Why ICC is double standard. Allowing namaz on ground to Pak players, but not allowing @msdhoni to wear #BalidaanBadge gloves. Is @BCCI surrendering to @ICC . We condemn this act of ICC",hate
@ICC @bcci @msdhoni #DhoniKeepsTheGlove     If u can allow namaz on ground    If u allow save gaza band    If u allow salute on ground    Then whats wrong in balidaan badge    R u a fool icc or its clear u hv double standard u r not keeping ur words    World doesn't need icc,hate
#DhoniKeepsTheGlove Anything Abrahamic cricketing countries display on field = ok. #cricket journos and writers (including Indian) have high population of #Hinduphobic leftists. hypocrisy a clear indication of the #Hinduphobia to come.,hate
This cop called for America to slaughter all ‘sodomite reprobates.’ They’re letting him ‘retire.’ #Resist #ResistTrump #FuckTrump https://t.co/2gu2um9WfK,hate
"Read #borisjohnson's @Wikipedia page; from his disasterous tenure as Mayor of London, to his endorsement by the BNP, it tells you who he really is and his awful track record speaks for itself. #BorisJohnsonShouldNotBePM #notmypm https://t.co/FDNOgr9CyX",hate
@realDonaldTrump Well isn't that the pot calling the kettle ZERO CREDIBILITY 😂😂😂😂 Maybe if you didn't LIE ABOUT EVERYTHING you'd have an ounce of credibility but we all know you #TrumpIsATraitor and you will be leaving very soon. #TrumpDerangementSyndrome https://t.co/PhruMpZQyj,hate
"Dhoni should get rid of the gloves and remain away from any army insignia immediately, no room for overt display of patriotism on the cricket field, your Indian cap 🧢 should serve all the symbolism you wanted to indulge in #DhoniKeepsTheGlove #dhonigloves https://t.co/2GjjgLDzxK",hate
King Joffrey: 47%  Donald Trump: 41%    #FuckTrump   #Trump41,hate
#ShameOnICC  Even local cricket tournament have better management &amp; planning than your's .   Thankyou for spoiling the worldcup. https://t.co/tfYxvOreN7,hate
"@GOPLeader Either you're unable to read, or you're as corrupt as the Felon-in-Chief is and are complicit in helping him to cover up crimes he's committed. #FuckTrump #TrumpCrimeFamily #ImpeachTrumpNow",hate
@Reuters All countries who care about their safety and security should #BanHuawei.   #Huawei is just a spying tool developed and extensively used by the Communist Party of China.    #CommunismKills #BoycottChina #oppression,hate
@skroskz @shossy2 @JoeBiden Biden &amp; his son Hunter took advantage of their position to use Air Force 2 to wheel &amp; deal with China &amp; Ukraine! I don’t trust Biden or his son Hunter who left his wife &amp; kids to move in with his dead brother’s wife &amp; family! #DOUCHEBAG,hate
@ICC i think u do have some work rather than seeing on dhoni's gloves...if u don't have then i can suggest u to improve the quality of ur great umpires ..plz go and improve the quality bcz #DhoniKeSaathDesh   #DhoniKeepsTheGlove   #BalidanBadge,hate
"The big event of #WC19 is today #terroristNationPakistan  Vs lovely people of #Indians , hope #India win it InshaAllah",hate
https://t.co/ZrtOAP86md I'm gonna go their own route and say all homophobic religious nuts should drink poisoned Kool-Aid. 🏳️‍🌈 #LGBTEquality #LGBTQ #FuckTrump,hate
@realDonaldTrump You’ve made a damn mess ! You helped rich people while screwing the poor idiots that support you or did support you. This is NOT 2016 the lying and crying isn’t gonna work this time. #LyingCryingTrump #DerangedDonald #IdiotTrump #ImpeachTheMF #TrumpForPrison2020,hate
@ICC Is truly islamic cricket council shame on icc #DhoniKeepsTheGlove,hate
"Are Muslims, in general a nuisance to be tolerated by the rest of the world ?  #SaveBengal  #DoctorsFightBack   #DoctorsStrike   #MamtaBanerjee",hate
"Hypocrisy is Pakistani team can offer namaz on the ground but Dhoni cant display balidan badge?? Then Indian team should offer Hanuman Chalisa, Durga Puja on the ground.  #DhoniKeepsTheGlove",hate
😂Forget Parsees Save 😂 #CongBachaoRahulHatao #congressneveragain #CongressMuktMaharashtra #CongressParty #congresschorhai #rajivviraatvacation #rajivgandhichorhai #rahulscorpenelink #RahulNowLiability #CongratulationsMheshimiwa #AbkiBaar300Paar #AbHogaNYAY #CongressMuktBharat https://t.co/ahrf2pJ0xm,hate
#TerroristNationPakistan 90% Pakistanis wants war with India and 10% said war should not be.     And   Those 10% belongs to Pakistans Armed Forces    😂    #TerroristNationPakistan,hate
@salmansaleh786 @AdityaRajKaul Question is... Why a #terroristNationPakistan allowed to play @ICC international cricket tournaments ???,hate
Basically Congress and it's allies do not like Hindus and PM represents as a Hindu which they absolutely reject. Entire Congress and it's supporters should be thrown out of this country. \n#GandiNaaliAbuse,hate
Opposition is a shame to the country... #GandiNaaliAbuse,hate
"#gandinaaliabuse  you can see how frustrated the losers are. Pathan, chopra, srivastav, bhamla are gandi naalis.That's why people didn't vote for them.",hate
#DonaldTrump Has Sold Out America To The Fricking Enemy Russian Commie Soviet 'REDS'  #MoreSanctionsOnRussia 'NOW'  #FuckTrump  Nuff Said ! .😠 https://t.co/hYPhOaUrcw,hate
"@realDonaldTrump Good riddance.  Next up, putting you in jail.  #fucktrump #fuckthegop #impeachtrump #trumpresign #traitortrump #draintheswamp #voteoutgop",hate
@realDonaldTrump Donnie.....you’re just saying that because he was mean to you! He let the Baby Trump blimp fly! He let thousands of protesters line the streets of London!!  YOU....Donnie are the disgrace!!  #TrumpIsADisgrace #TrumpIsACriminal #TrumpIsATraitor,hate
Is today’s rising #xenophobia a product of Iceland’s racist past? #Islamophobia #antimuslim https://t.co/8QPDU2kd0D,hate
"Also in #India, #Indian #Sunni #Islamist #politician and #murderer (of a fellow #Muslim) #Akbaruddin #Owaisi curses #Hindu gods and calls for mass #violence and #killings.    https://t.co/5AJ6Cw8vaq https://t.co/ZJb5kWmopN",hate
"I don't think so Dr. Shab , she deserved of your reply. Because her @sagarikaghose thought is pathetic//full of communalism /negativity/totally madness. Better would be 'ignore' , in current scenario, Not single person who are taking her seriously. #DoctorsFightBack https://t.co/HmC6qF3qQs",hate
@RepChrisStewart ——    @RepChrisStewart hitched himself to the #TrumpTrain of lies today.      Chris will get an education as he’s dragged through the mud.     Sad!    #VoteBlueNoMatterWho   #TrumpIsATraitor     ——-,hate
"It has always rained in England during chmpions trophy and other major tournaments. Such poor scheduling of cwc 19 , no reserve day , poor ground conditions, poor preparations. #ShameOnICC",hate
Is God a Tory? Waiting to be anointed.   #BorisJohnsonShouldNotBePM https://t.co/UNtLLR2PBy,hate
"@BorisJohnson the country is already united ... against #SpaffingBoris  .@BorisJohnson philandering, womanising, misogynist, bully of small children, con artist, racist and poundshop-trump becoming our Prime Minister  Tnx     #borisjohnson #Boris4PM #BorisJohnsonShouldNotBePM https://t.co/iTbPaCUBtM",hate
@Franklin_Graham That’s a real Christian attitude you have. #douchebag,hate
Hey @realDonaldTrump     Three words. 'Prince of WHALES...'  😂😂😂😂😂😂    #Trump #TrumpIsAMoron #TrumpIsADisgrace #TrumpIsAFraud #GOP #resist #Resistance #TrumpIsAnInternationalDisgrace #TrumpIsATraitor #GOP #Republican https://t.co/Q2G9lhfxe6,hate
"@business Hey, @newbalance find other means than China. We will boycott your products as well. #boycottChina #IPtheft #humanrightsviolations",hate
"He's not hugging the flag, he's hiding behind it. This picture disgusts me in ways I can't even express. I don't like to call any US President a pig, but this one emphatically is... #TrumpIsATraitor #TrumpIsADisgrace #TrumpMustGo #TrumpMustResign #JohnMcCainDay https://t.co/pa0nDZXqaG",hate
Ken Clarke doing his best impression of Michael Palin after being soaked in brandy for thirty years  #ToryLeadeshipContest #MichaelGove #BorisJohnsonShouldNotBePM https://t.co/Nvx87dTAl5,hate
We have fought many battles in our life. We have saved many people. Sacrificed many things for the people who bitch about us on our back and never stood and will stand with us. But we know what we are capable of. And we will.....👇    #GoDoctors  #DoctorsFightBack #SaveTheDoctors https://t.co/PdhV628H44,hate
If any other country handles the way ICC handles they will them up for poor preparation     #ShameOnICC,hate
@DavidWohl You fool .  Blocked! #TrumpIsATraitor #ImpeachTrumpNow https://t.co/EZx926HFtV,hate
@kaitlancollins Of course not!! #TrumpIsATraitor https://t.co/EFycXxONwh,hate
@realDonaldTrump @senatemajldr @MarkWarner Happy #JohnMCainDay  #TrumpsWorseThanNixon  #TrumpIsATraitor  #TrumpIsNotExonerated  #TrumpIsACriminal,hate
Facts are Facts. #TrumpLies #TrumpLiesEveryTimeHeSpeaks  #trumpisatraitor https://t.co/X4uhAU9uDa,hate
"Indian Fans Angry On ICC After Another World Cup Washout, Even Amitabh Bachchan Joined Them  #ShameOnICC #ICC #worldcup2019 https://t.co/VkLs8PssYD via @metrosaga",hate
"Of all Boris Johnson’s appearances on TV, tonight was definitely my favourite. #channel4debate #BorisJohnsonShouldNotBePM #BorisJohnson",hate
@realDonaldTrump #LyingPresident #TrumpIsACrook #TrumpIsATraitor #TrumpIsATraitor #LyingPresident #TrumpIsACrook You cheated to win this election and that is your legacy! There were always be an asterisk* by your name. *Cheated with Putin to win the election! #YourLegacy https://t.co/1Jj9sXD6BE,hate
"Unlike all other presidents in the modern era, Trump has concealed his finances from the American people &amp; refused to divest himself from his worldwide business interests, making himself (and therefore the nation) vulnerable to bribery &amp; blackmail.   #TrumpIsATraitor",hate
#Trump puts golf before country! #TrumpIsATraitor,hate
Trump: I never took any help from Russia.    ...And I'd absolutely do it again.    #ImpeachTrumpNow #TrumpTreason #TrumpIsATraitor   https://t.co/Rb8OpigOnL,hate
"Shame on you @ICC.The effort you kept on Dhoni gloves, Just keep 1% from it on your world cup schedule which is getting washed away. #BANvSL #ICCWorldCup2019 #DhoniKeepsTheGlove",hate
@tedlieu I would bet That Trump has a welcome mate to all foreign powers who have information on the democratic party @ the oval office doorway.   #TrumpIsATraitor,hate
@SadiqKhan @CrimestoppersUK Their blood is on YOUR hands! You are as guilty for their murder as those that held the knife and gun! #Murderer,hate
"#VOMIT  #TrumpIsATraitor   #ImpeachTrumpNow   Happy #JohnMcCainDay,  Treasonous, weak @LindseyGrahamSC . https://t.co/dx8c1yE1Jc https://t.co/liJd1UvMVJ",hate
"@TheRealOJ32 So you’re going to “hold people accountable”?    You realize you’re no longer anything but a punchline, right?    #Murderer",hate
We need fast trial of each and every Rape Case    No matter Accused is Muslim or Hindu    Death Penalty for Rape Crime    #Kathuaverdict #Kathua #SanjiRam     #YuvrajSingh #DhoniKeepsTheGlove #Dhoni #GirishKarnad #INDvAUS #IndianCricketTeam #IndvsPak #tiktokindia #tiktokhot #MumbaiRains,hate
Its not a club level cricket it's big event  which comes ones in four years. Really frustrating badly.#ShameOnICC,hate
Ancestor behaviour you are NOT proud of .... Charles Peace #burglar #murderer ..... can’t choose your fam https://t.co/wuXUYA01hd,hate
#SHAMEONICC for not keeping reserve days.  Looks like Ind vs Pak will get washed out.  Get ready for the massive rage.  @ICC @cricketworldcup #WorldCup2019,hate
There’s NO justification for assault on Doctors.    ▪️We need transparent medical negligence protocols. So the public can be assured of action in genuine cases.     ▪️Sensitisation of Doctors &amp; public in general on how to handle such emotionally charged situations.    #DoctorsFightBack,hate
@ICC ..don't know why it is focusing on a point which has no effect in the game play of world cup by leaving #umpires who are changing the chances of winnings of teams with their wrong decisions...work on topics which need to be improved rather than our msd...#DhoniKeepsTheGlove,hate
"@ICC why so silent?  #ShameOnICC #CWC2019 #CWC19 #ICC👎 #ICC💩   @BCCI who will punish @ICC  for their incompetency,poor management and lack of vision and responsibility????😡🤔  @Republic_Bharat @republic plzz tag 💩 @ICC  members?? https://t.co/M10PMX6xgC",hate
@dharmasena_k @ICC @ICCMediaComms @ICCLive @cricketworldcup Shame on poor poor onfield umpiring. How can you appoint so dissappointing and illeterate umpires like you. #ShameOnICC,hate
ICC means (islamic cricket council)  Pakistan team ??   Shame you icc   love you mahi 💗💗#DhoniKeepsTheGlove https://t.co/gjJGBnefvw,hate
"Real Michael Gove or fake Michael Gove, what do you think?    #BorisJohnsonShouldNotBePM  #BollocksToBoris   #BollockstoBrexit https://t.co/eHZsJaRHVZ",hate
@Queerty LMAO! 😅   Gross. 😐   What a trainwreck.   Gay #douchebag,hate
"@realDonaldTrump You know nothing about geopolitics, so kindly refrain from talking about it. Actually, kindly refrain from talking, period. #DerangedDonald #TrumpisaTraitor #TrumpisaCrook #TrumpHatesAmerica",hate
@hd_kumaraswamy Where are you? Why isn't this case with CBI yet? We don't want your SIT. We know they will not do the job. Please transfer case to CBI. What are you afraid of?  #IMAJewels   #IMAJewelsFraud   #IMAFraud  #IMA  #IMAFraudCase https://t.co/TcxOa97OLB,hate
#DoctorsFightBack we want justice https://t.co/ONUdOhagX3,hate
@KagisoRabada25 before calling him immature just think about yourself.. you were banned for 2 matches by ICC for your inappropriate behaviour....  @imVkohli is the pride of our 125 crore hearts ......  #ICCWorldCup #cricket #DhoniKeepsTheGlove https://t.co/pC4rrq6qSM,hate
#ShameOnICC @ECB_cricket hahaha I pity on your country where called as national sport of the country for we Indians cricket is not just a sports lts a other religion. https://t.co/yLRpNKoASZ,hate
@TheRealOJ32 Why are you on my feed? #NeverForget #NicoleBrown #RonGoldman #MURDERER,hate
#ShameOnICC World design Changed.. https://t.co/HUUC7zL6rK,hate
"@women4PV ...and they’re gonna vote for a man who is so arrogant as to not even show up for a debate, who thinks he’s so much better than everyone else but who is actually unfit for the job #BorisJohnsonShouldNotBePM",hate
#DhoniKeepsTheGlove    @msdhoni isn't supposed to wear those gloves tomorrow but K.L. Rahul and Dinesh Karthik can.. just saying,hate
@sukiyer18 @Dramitjp @imMAK02 Yawn. Sorry Can't dumb down the issue further. Try reading to improve your grasp about issues . Or continue defending whichever political masters you lick. We will stand by #doctors and India #DoctorsFightBack,hate
@DelhiPolice If u all guys show the same dare to the #criminals and #rapist than #Delhi could be #crimefree. But as usual they show their strength to a poor driver who work hard to earn.  What to say more when rakshak is bhakshak.,hate
#toilynnkelly  #LACrime  #SugeKnight  #murderer helped by a gang of people including TMZ  https://t.co/MDjMwEysJ1,hate
"@ICC - Are you sure, you are credible enough to conduct cricket world cup?    Stop just staring and pointing out at attire of cricketers    #Dhonigloves  #ENGvWI   #ShameOnICC   #WeTheNorth",hate
"Well, well, well--the first domino has fallen. See: Former White House aide Hicks agrees to testify to House panel investigating Trump https://t.co/bbNSM6xVuc  #TrumpObstructedJustice #TrumpisaTraitor",hate
"Come Yashwant you believe @BCCI to Put country up and above Money, NEVER gona happen #DhoniKeepsTheGlove https://t.co/kLGxg0cEa9",hate
#ShameOnICC Misbah doing pushups on ground is nothing for ICC.but MS badge is under scanner woww.. If meaning of bias was something it should be ICC,hate
Why didn’t doctors protest for #DrPayalTadvi or #drkhafeel or when MCD hospital doctors protested for their due salaries? Why? I do believe in safe working atmosphere for doctors. Is it happening because of West Bengal politics ?. #DoctorsStrike #DoctorsFightBack #DoctorsProtest,hate
@Ghostofcass1 Who is “Trump?”    #JohnMcCainDayJune14 #TrumpIsATraitor #TrumpCriminal #gopcrimesyndicate,hate
"The very rare two faced, A.B. de Pfeffel Johnson cat ..    #BorisJohnsonShouldNotBePM   #BollockstoBrexit   #caterday https://t.co/ApOJtrK2MW",hate
"#DoctorsFightBack If at all @MamataOfficial wants to raise Outsiders issue, 'Outsiders' In  West Bengal  are illegal Bangladeshis &amp; Rohingyas who are fraudulently given citizenship credentials &amp; these people needs to be kicked out &amp; not Doctors.",hate
Wow! Look at all the lines of buyers!!! Was the store closed or is that just the typical turnout?? #DoucheBag https://t.co/1c8xfDzWGU,hate
"@realDonaldTrump There is no poll that says don't impeach, unless it is only inside your head.  #TrumpIsNotAboveTheLaw   #ImpeachmentInquiryNow   #ImpeachTrumpNow   #impeachment   #TrumpIsATraitor   #TrumpIsAFraud   #TrumpIsTheEnemyOfThePeople   #TrumpIsANationalSecurityThreat   #TrumpIsACriminal",hate
"This is the alleged rapist who attempted to #rape a Doctor who was working night shift at Pelonomi Hospital in Bloemfontein this week, the said Doctor then fought back and bit the #tongue off of the attempted #rapist.    🙏👏🙌👊👌 https://t.co/5oulTabn5O",hate
@washingtonpost I might be grasping at straws here but he might be advocating seditious behavior by way of a wink and a nod in a tweet. #TrumpIsATraitor https://t.co/xv5eXO5iqp,hate
Congratulations Michael Phelps for winning Cricket World Cup 2019    #ShameOnICC https://t.co/2nxZ1cUFi5 (https://t.co/RO2OKk47km),hate
"@msdeehj1 @Gypsysister58 @johncardillo @Mimirocah1 @BarackObama @you Personally, I do not like Trump's persona, but I don't throw the baby out with the bath water. He is much better for the @USA than the #ClintonCrimeFamily @HillaryClinton is EVIL personified; she and her #Rapist husband @BillClinton should be in PRISON!",hate
@DanCrenshawTX Chuch Schumer = #DoucheBag,hate
@gtconway3d They are right! #TrumpIsATraitor #TrumpIsANationalSecurityThreat,hate
@cdnfp @SecPompeo @StateDept @realDonaldTrump Prince of Walls??  #TrumpIsATraitor #NervousDonald,hate
@Acosta @ReliableSources @brianstelter @CBSSunday Dear diary...  #douchebag  You ARE the enemy of the people.,hate
"#DoctorsFightBack | Mamata Banerjee repeats 'outsiders' claim over doctors' protest in Kolkata, even as doctors from across India stand together demanding assurance of their safety. Tune in to watch her address #LIVE here - https://t.co/LGCyJUEBn5 https://t.co/EZp0ZIdMba",hate
"@RepMattGaetz @realDonaldTrump Too many DUIs have addled your brain. If you can still read, try a snippet of the Mueller report. There are nothing false except yours and Trump’s denials. It’s all Russians all the time. #TrumpRussia #TrumpIsATraitor #TrumpMustResign https://t.co/av4yBeKrUb",hate
Picture from future... #IndvsPak #shameonICC https://t.co/8Umpc15ra5,hate
"@GrassrootsSpeak This sounds like a brilliant idea!!!!  We need someone to take this and run...lawyers. bet, millions of people would kick in a few bucks.  Brilliant.   #TrumpIsATraitor   #TrumpCrimeFamilyMustGo",hate
"Now mamata didi cancels her meeting with the striking doctors. Shows het immaturity. She dreams of becoming the leader of India, but she is no statesman. She had egoistical mind, acts childish and behaves as a tyrant.  #DoctorsFightBack #DoctorsProtest",hate
"You are worried about Jahil?  They wanted to remove police for 15 minutes to wipe out Hindus.  I am saying let's do it, we will see who gets wiped out. #gandinaaliabuse",hate
#GandiNaaliAbuse This unknown Congi leader @adhirrcinc is a cheap charlie who should be kicked out of the Lok Sakha for calling our PM in that gutter language. Wonder how people elect this kind of low thinking person as their Rep.,hate
